Edition,Year,Host Nation,Host City,Nations,Sports,Events
1,1984,Nepal,Kathmandu,7,5,62
2,1985,˜Bangladesh,Dhaka,7,7,94
3,1987,˜India,Calcutta,7,10,116
4,1989,˜Pakistan,Islamabad,7,10,114
5,1991,˜Sri Lanka,Colombo,7,10,142
6,1993,˜Bangladesh,Dhaka,7,11,115
7,1995,˜India,Madras,7,14,143
8,1999,˜˜˜Nepal,Kathmandu,7,12,163
9,2004,˜Pakistan,Islamabad,8,15,170
10,2006,˜Sri Lanka,Colombo,8,20,197
11,2010,˜Bangladesh,Dhaka,8,23,158
12,2016,˜India,Guwahati/Shillong,8,22,226
13,2019,˜˜˜Nepal,Kathmandu/Pokhara,7,26,308
