,male,literacy rate,years_educ1,years_educ2,years_educ3,years_educ4,years_educ5,years_educ6,years_educ7,years_educ8,hhsize,poverty rate,nkid06,nkid715
Achham,0.46166801,0.47615108,0.080331378,0.39497891,0.22485271,0.14516105,0.099262699,0.0010593139,0.050133221,0.0042207185,6.3222146,0.472,0.75,1.1666666666666667
Arghakhanchi,0.43373638,0.65244561,0.039106321,0.29863688,0.25366184,0.1896213,0.1577363,0.00084387424,0.05736041400000001,0.0030330548,5.179199700000002,0.28800000000000003,0.4583333333333333,1.0208333333333333
Baglung,0.43820655,0.6473974,0.043599397000000005,0.30112398,0.23977318,0.18695968,0.15403453,0.00037505568,0.070341371,0.0037927816,5.3786693,0.229,0.7166666666666667,1.0833333333333333
Baitadi,0.4644686,0.54849732,0.058514342,0.34625843,0.25960001,0.18612017,0.11426937,0.0007867181,0.030814264,0.0036366766,6.7480731,0.457,1.1333333333333333,1.4166666666666667
Bajhang,0.47738111,0.48833308,0.073605701,0.41743186,0.21951139,0.13894004,0.11203744,0.0004831809200000001,0.034308128,0.0036822567,6.9458089,0.568,0.7777777777777778,1.5833333333333333
Bajura,0.48549268,0.47453827,0.093973234,0.41750285,0.23342878,0.13678612,0.093656421,0.0015173226000000002,0.019390924,0.0037443631,6.5647516,0.6409999999999999,0.875,1.1666666666666667
Banke,0.49297547,0.56287342,0.042204391,0.29859509999999995,0.23400153,0.19356228,0.18834153,0.0028073676,0.036152307,0.0043354915,6.713961099999999,0.264,0.6944444444444444,1.2592592592592593
Bara,0.50621331,0.46600029,0.034165028,0.3605808,0.25470009,0.17956918,0.15414125,0.0017987926,0.0094430801,0.0056017837,8.0896721,0.299,1.7666666666666666,1.4333333333333333
Bardiya,0.4763855,0.59467888,0.052962135999999986,0.31737122,0.28179017,0.17465575,0.12036067,0.00081264332,0.05089106,0.0011563469,6.522268799999999,0.287,0.6770833333333334,1.28125
Bhaktapur,0.50029796,0.75697416,0.032401077,0.16501462,0.16530846,0.20909953,0.38132551,0.00046288953,0.041377112,0.0050107976,5.5754051,0.125,0.39814814814814814,0.6851851851851852
Bhojpur,0.46639317,0.62590408,0.037033647,0.30979246,0.26698667,0.18077807,0.13510638,0.0006914547400000001,0.067060135,0.0025511773,5.6229339000000005,0.244,0.6333333333333333,1.0666666666666667
Chitawan,0.47449005,0.7097611999999999,0.032217149,0.2293039,0.22890644,0.20693406,0.24277662,0.00093307131,0.055952195,0.0029765705,5.3475204000000005,0.08900000000000001,0.49074074074074076,0.9907407407407407
Dadeldhura,0.46187252,0.56544918,0.057298835,0.34592086,0.28307632,0.17700765,0.10844366,0.00070208224,0.024074093,0.0034765047,6.5866441999999985,0.433,0.8333333333333334,1.3333333333333333
Dailekh,0.48010579,0.54321951,0.041323159,0.36047778,0.26412338,0.17906553,0.11136383,0.00078479067,0.03901168,0.0038498964,6.3331685,0.358,0.9666666666666667,1.2833333333333334
Dang,0.46717733,0.63547677,0.050758332,0.29628018,0.25871608,0.19118056,0.14766511,0.0009288868199999998,0.049687896,0.0047829798,6.010155200000002,0.251,0.725,1.1916666666666667
Darchula,0.4724938,0.57338154,0.062153414,0.31753588,0.25737497,0.18603893,0.15294902,0.0010141366,0.019910578,0.0030230882,6.4212956,0.53,0.6666666666666666,1.375
Dhading,0.46856195,0.57217622,0.044129271,0.36223337,0.25546101,0.16252074,0.12193366,0.00077080354,0.048851747,0.0040994175,5.5631670999999985,0.188,0.7777777777777778,1.1666666666666667
Dhankuta,0.4617742,0.6732415,0.036994904,0.2634865,0.24773107,0.20773079,0.16869365,0.00073024118,0.07305853799999999,0.0015742992000000002,5.4927197,0.159,0.4583333333333333,0.8958333333333334
Dhanusa,0.50012416,0.46033666,0.021726469,0.29785705,0.23702003,0.20045605,0.20797744,0.0021761898,0.019782184,0.013004595,6.7557607000000015,0.231,0.7962962962962963,1.1388888888888888
Dolakha,0.46536008,0.57754463,0.060461394,0.32735187,0.25203219,0.16138363,0.13255148,0.0015570389,0.061192539,0.0034698520000000003,5.0538068,0.26,0.4523809523809524,1.0714285714285714
Doti,0.44655624,0.47204661,0.10465118,0.41166613,0.22418569,0.13054684,0.093441926,0.0008049854700000001,0.032030832,0.0026724157000000003,6.2524905,0.489,1.0333333333333334,1.2166666666666666
Gorkha,0.44385219,0.60707414,0.03736743,0.32413197,0.26429486,0.15895127,0.12716171,0.0013420592,0.08469081699999999,0.0020599097,5.0296745000000005,0.204,0.6,1.05
Gulmi,0.42834744,0.6549781,0.05352404,0.29187596,0.24515104,0.19995931,0.14471368,0.00025861207,0.062966496,0.0015508691,5.2363558,0.256,0.7,1.0833333333333333
Ilam,0.48229298,0.72344089,0.019362058,0.25883779,0.2585794,0.22798564,0.16127211,0.00015591101999999998,0.066841841,0.006965230699999999,5.3728375,0.073,0.47619047619047616,1.25
Jajarkot,0.49825874,0.49299902,0.071544245,0.38310918,0.23069897,0.16541387,0.10978313,0.0010858951,0.035392307000000005,0.002972417,6.5433846,0.377,1.4583333333333333,1.375
Jhapa,0.47087109,0.68834424,0.031733863,0.22914904,0.22750849,0.24769224,0.21492288,0.00015865236,0.046689592,0.0021452471,5.2403469000000005,0.106,0.6388888888888888,0.7638888888888888
Jumla,0.49622226,0.46801019,0.09581504,0.37936142,0.20125858,0.15246741,0.13545652,0.00074762671,0.033244681,0.0016487264999999998,6.6543365,0.49,1.2083333333333333,2.125
Kailali,0.4825606,0.59553182,0.063621119,0.30520919,0.24901304,0.19589004,0.13931191,0.00071302307,0.043316048,0.0029256321,6.910535799999999,0.336,0.8409090909090909,1.3636363636363635
Kalikot,0.49899954,0.48108688,0.070515886,0.39760041,0.23322649,0.13765919,0.11229403,0.00080272288,0.043849062,0.0040521785,7.027319,0.579,2.0,1.6666666666666667
Kanchanpur,0.47623199,0.63441533,0.044738210999999986,0.29960358,0.25458822,0.20194544,0.16092315,0.00069315883,0.032282397000000004,0.0052258535,6.910915400000001,0.314,0.6770833333333334,1.2604166666666667
Kapilbastu,0.49760243,0.49120682,0.047599282,0.35656577,0.2597605,0.17607160000000002,0.13548641,0.0026982962,0.017901842,0.0039162952,8.4282093,0.355,1.1296296296296295,1.787037037037037
Kaski,0.47390148,0.75814974,0.029169703,0.19683155,0.21100292,0.22764403,0.29513511,0.00037722214,0.036643986,0.0031954718,4.8213019,0.04,0.4444444444444444,0.8611111111111112
Kathmandu,0.51522726,0.80478394,0.029173061,0.14099269,0.14117132,0.17890997,0.46989265,0.0006969808,0.035115726,0.0040475857,5.458797,0.076,0.4263888888888889,0.5833333333333334
Kavrepalanchok,0.47099754,0.64243072,0.03543986,0.27629375,0.23672009,0.19043368,0.18766534,0.0005138785900000001,0.066558212,0.0063752094,5.9378695,0.139,0.40625,0.8645833333333334
Khotang,0.46344566,0.61974722,0.034038536,0.31092772,0.24257942,0.18943053,0.1568995,0.00061226817,0.057696804,0.007815212,5.8386292,0.25,0.6666666666666666,1.55
Lalitpur,0.50292116,0.77214843,0.028897364,0.16150458,0.15615244,0.18588617,0.41700915,0.0008249086099999999,0.046722058,0.0030033232,5.3085155,0.076,0.46111111111111114,0.7222222222222222
Lamjung,0.44598716,0.64688665,0.041939061,0.27792114,0.26631913,0.19365524,0.15991129,0.0005262426,0.05663630400000001,0.0030916105,4.8875594000000016,0.168,0.4722222222222222,0.9444444444444444
Mahottari,0.49294209,0.42461929,0.026129808,0.36645481,0.24595267,0.16688034,0.16607296,0.0036889503,0.017297924,0.007522556,6.988765700000001,0.162,1.03125,1.1979166666666667
Makwanpur,0.48478106,0.61685932,0.044946983,0.33569172,0.25129396,0.1519154,0.15446468,0.00095150032,0.058654074,0.0020816762,5.9441867,0.279,0.7314814814814815,1.1296296296296295
Morang,0.48166862,0.64529926,0.030689204,0.2533491,0.23200393,0.21236897,0.22493441,0.00032120012,0.043328717,0.0030044797,5.5005012,0.165,0.5980392156862745,1.1372549019607843
Mugu,0.50315511,0.42803472,0.04180285,0.37719405,0.27022555,0.16164306,0.12185773,0.0034701207,0.013920832,0.0098858085,6.7752409,0.471,1.9166666666666667,1.5833333333333333
Myagdi,0.44546551,0.64578712,0.04683027,0.31962532,0.25084352,0.17777556,0.13653564,0.00053516641,0.06612224900000001,0.0017322442,5.0492053,0.28600000000000003,0.9444444444444444,0.8888888888888888
Nawalparasi,0.46765992,0.64313579,0.053185355,0.29140341,0.254033,0.20704681,0.14975974,0.0005886477900000001,0.039901368,0.00408168,6.3742447,0.17,0.6206896551724138,1.3241379310344827
Nuwakot,0.47876161,0.55228686,0.038196046,0.29561943,0.24069278,0.19306266,0.13786779,0.00065044762,0.078421399,0.015489435,5.747591000000001,0.203,0.7666666666666667,1.1
Okhaldhunga,0.4587734000000001,0.5802983,0.037642963,0.3289623,0.25753006,0.17762429999999998,0.12555079,0.0012833518,0.066790298,0.0046159495,5.5967902999999986,0.205,0.5833333333333334,0.9722222222222222
